"Datum";"Naam / Omschrijving";"Rekening";"Tegenrekening";"Code";"Af Bij";"Bedrag (EUR)";"Mutatiesoort";"Mededelingen";"Saldo na mutatie";"Tag"
"20260210";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"49,55";"Betaalautomaat";"";"6712,44";""
"20260209";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"6761,99";""
"20260209";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"95,34";"Betaalautomaat";"Pasvolgnr: 001";"6779,98";""
"20260208";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"6875,32";""
"20260208";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"47,04";"Betaalautomaat";"Pasvolgnr: 001";"6889,31";""
"20260207";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"36,61";"Betaalautomaat";"";"6936,35";""
"20260206";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"6972,96";""
"20260206";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"52,36";"Betaalautomaat";"Pasvolgnr: 001";"7041,46";""
"20260205";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7093,82";""
"20260205";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"44,63";"Betaalautomaat";"";"7235,82";""
"20260204";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"103,14";"Betaalautomaat";"Pasvolgnr: 001";"7280,45";""
"20260204";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"49,76";"Betaalautomaat";"Pasvolgnr: 001";"7383,59";""
"20260203";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"19,86";"Betaalautomaat";"Pasvolgnr: 001";"7433,35";""
"20260203";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"58,34";"Betaalautomaat";"Pasvolgnr: 001";"7453,21";""
"20260203";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"51,08";"iDEAL";"Bestelling";"7511,55";""
"20260202";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"7562,63";""
"20260201";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"8807,93";""
"20260201";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"6957,93";""
"20260201";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"37,34";"Betaalautomaat";"";"5307,93";""
"20260127";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"82,27";"Betaalautomaat";"Pasvolgnr: 001";"5345,27";""
"20260127";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"49,74";"Betaalautomaat";"";"5427,54";""
"20260126";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"118,95";"Betaalautomaat";"Pasvolgnr: 001";"5477,28";""
"20260126";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"43,53";"Betaalautomaat";"Pasvolgnr: 001";"5596,23";""
"20260120";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"5639,76";""
"20260117";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"14,24";"Betaalautomaat";"";"6039,76";""
"20260114";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"81,92";"Betaalautomaat";"";"6054,00";""
"20260114";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"6135,92";""
"20260113";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"72,69";"Betaalautomaat";"Pasvolgnr: 001";"6160,92";""
"20260113";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"30,21";"Betaalautomaat";"";"6233,61";""
"20260112";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"6263,82";""
"20260110";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"6293,81";""
"20260110";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"45,41";"Betaalautomaat";"Pasvolgnr: 001";"6592,21";""
"20260110";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"62,29";"Betaalautomaat";"";"6637,62";""
"20260110";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"128,73";"iDEAL";"Bestelling";"6699,91";""
"20260109";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"6828,64";""
"20260109";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"96,87";"Betaalautomaat";"Pasvolgnr: 001";"6846,63";""
"20260109";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"37,51";"Betaalautomaat";"Pasvolgnr: 001";"6943,50";""
"20260108";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"6981,01";""
"20260108";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"69,64";"Betaalautomaat";"Pasvolgnr: 001";"6995,00";""
"20260108";"Uber Eats";"NL00INGB0001234567";"";"BA";"Af";"31,24";"Betaalautomaat";"";"7064,64";""
"20260106";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7095,88";""
"20260105";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7164,38";""
"20260105";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"24,46";"Betaalautomaat";"Pasvolgnr: 001";"7306,38";""
"20260104";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"90,73";"Betaalautomaat";"Pasvolgnr: 001";"7330,84";""
"20260103";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"33,13";"Betaalautomaat";"";"7421,57";""
"20260102";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"7454,70";""
"20260101";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"8700,00";""
"20260101";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"6850,00";""
